#,receptor,ligand,centerx,centery,centerz,sizex,sizey,sizez
i,1AQ1,ZINC00968327,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC01481815,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC01542392,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC01552174,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC03812865,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC03830332,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC03831625,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC03860156,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC03875334,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC03927870,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC04213946,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC13540266,0.326,26.958,9.102,20.409,20.941,18.476
i,1AQ1,ZINC19594535,0.326,26.958,9.102,20.409,20.941,18.476
i,1HCL,ZINC00968327,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC01481815,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC01542392,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC01552174,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC03812865,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC03830332,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC03831625,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC03860156,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC03875334,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC03927870,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC04213946,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC13540266,97.680,96.403,79.896,18.000,20.000,22.000
i,1HCL,ZINC19594535,97.680,96.403,79.896,18.000,20.000,22.000
i,1J1B,ANP,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC00968327,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC01481815,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC01542392,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC01552174,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC03812865,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC03830332,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC03831625,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC03860156,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC03875334,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC03927870,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC04213946,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC13540266,20.304,16.365,-9.814,20.000,20.000,20.000
i,1J1B,ZINC19594535,20.304,16.365,-9.814,20.000,20.000,20.000
i,1LI4,NAD,35.630,-12.231,104.708,26.000,24.000,18.000
